manual_case_id,market_question,ts_lower,ts_upper,size_usd_approx,wallet_addr,direction,outcome_resolved,confidence_tier,manual_handle,raw_source_url
nobel_peace_prize_dirtycup_2025,Who will win the 2025 Nobel Peace Prize?,2025-10-09T22:00:00Z,2025-10-10T09:00:00Z,70000.0,,YES,YES,T1,dirtycup,https://finance.yahoo.com/news/norway-probes-potential-insider-trading-194041145.html
nobel_peace_prize_dirtycup_2025,Who will win the 2025 Nobel Peace Prize?,2025-10-09T22:00:00Z,2025-10-10T09:00:00Z,70000.0,,YES,YES,T1,dirtycup,https://blockworks.com/news/polymarket-nobel-probe
nobel_peace_prize_dirtycup_2025,Who will win the 2025 Nobel Peace Prize?,2025-10-09T22:00:00Z,2025-10-10T09:00:00Z,70000.0,,YES,YES,T1,dirtycup,https://decrypt.co/343840/nobel-peace-prize-organizers-intestigating-polymarket-insider-trades
iaf_major_iran_june_2025,Will Israel strike Iran in June 2025?,2025-06-01T00:00:00Z,2025-06-15T00:00:00Z,162663.0,,YES,YES,T1,,https://www.wionews.com/world/military-intel-for-gambling-israeli-air-force-major-charged-with-using-secret-iran-war-details-to-win-big-on-polymarket-1774598651598
iaf_major_iran_june_2025,Will Israel strike Iran in June 2025?,2025-06-01T00:00:00Z,2025-06-15T00:00:00Z,162663.0,,YES,YES,T1,,https://www.timesofisrael.com/israeli-air-force-major-charged-with-using-classified-info-to-place-bets-on-polymarket/
iaf_major_yemen_sep_2025,Will Israel strike Yemen/Houthis in September 2025?,2025-09-01T00:00:00Z,2025-09-30T00:00:00Z,5000.0,,YES,YES,T1,,https://www.wionews.com/world/military-intel-for-gambling-israeli-air-force-major-charged-with-using-secret-iran-war-details-to-win-big-on-polymarket-1774598651598
gpt_5_2_13_wallets,"Will OpenAI release GPT-5.2 before December 13, 2025?",2025-12-09T00:00:00Z,2025-12-11T00:00:00Z,309486.0,,YES,YES,T1,,https://gizmodo.com/the-great-insider-trading-reckoning-reportedly-hits-openai-2000727838
gpt_5_2_4_accounts_small,"Will OpenAI release a new large model before December 13, 2025?",2025-12-01T00:00:00Z,2025-12-11T00:00:00Z,13000.0,,YES,YES,T2,,https://gizmodo.com/the-great-insider-trading-reckoning-reportedly-hits-openai-2000727838
axiom_3_addresses,Axiom prediction market (specific question not publicly named),2025-01-01T00:00:00Z,2025-02-27T23:59:59Z,1200000.0,,,,T1,,https://www.bitget.com/amp/news/detail/12560605226286
reality_tv_survivor_98pct_ep1,Kalshi market on a Survivor episode outcome (contestant-specific),2026-01-01T00:00:00Z,2026-03-30T23:59:59Z,,,YES,YES,T2,,https://gamingamerica.com/news/reality-tv-betting-insider-trading-prediction-markets
